"Name","Runtime","Notes","State","Tags","learning_rate","model","n_embd","train_loss","val_best_mae","val_best_r","val_loss (Min)"
"lyric-sweep-7","3134","-","finished","","0.01","RecurrentTransformer","32","10.863996344392854","0.5587040185928345","8","2.5701823344628014"
"whole-sweep-8","2564","-","finished","","0.01","RecurrentTransformer","64","7.561954000837036","0.5790457129478455","10","2.5926945784688"
"revived-sweep-4","2415","-","finished","","0.01","BaseTimeTransformer","64","6.527077488424522","0.681444525718689","1","2.667223297973474"
"sweepy-sweep-2","2154","-","finished","","0.01","BaseTimeTransformer","16","14.118243176328283","0.5449669361114502","1","2.7411598775088786"
"crimson-sweep-3","3270","-","finished","","0.01","BaseTimeTransformer","32","10.719127594437982","0.5432769656181335","1","2.7514888158738615"
"dauntless-sweep-16","4966","-","finished","","0.001","RecurrentTransformer","64","22.624153197722777","0.5673370957374573","10","2.794871219267448"
"silver-sweep-1","3041","-","finished","","0.01","BaseTimeTransformer","8","20.919573323958687","0.5658593773841858","1","2.816157337655624"
"fast-sweep-6","5058","-","finished","","0.01","RecurrentTransformer","16","9.9442067580883","0.6163581609725952","2","2.835006022522847"
"fanciful-sweep-15","4448","-","finished","","0.001","RecurrentTransformer","32","20.50512267354024","0.5738707184791565","5","2.83787757713596"
"daily-sweep-12","2321","-","finished","","0.001","BaseTimeTransformer","64","22.470719520757243","0.591823935508728","1","2.8462344707349936"
"cool-sweep-11","2532","-","finished","","0.001","BaseTimeTransformer","32","17.696706214376857","0.6649417281150818","1","2.9856655909816423"
"fallen-sweep-14","4606","-","finished","","0.001","RecurrentTransformer","16","21.57418404526157","0.5618488788604736","2","3.0795267295738062"
"lilac-sweep-10","2149","-","finished","","0.001","BaseTimeTransformer","16","17.367645672607633","0.5969933867454529","1","3.1553042652110257"
"feasible-sweep-5","2596","-","finished","","0.01","RecurrentTransformer","8","21.902889541664297","0.6303470134735107","1","3.195135575771332"
"wobbly-sweep-13","4858","-","finished","","0.001","RecurrentTransformer","8","22.988551497620133","0.5703161954879761","10","3.322239469011625"
"wandering-sweep-9","2832","-","finished","","0.001","BaseTimeTransformer","8","23.2920390869081","0.5702910423278809","1","3.878055054560304"
"elated-sweep-18","8683","-","finished","","0.0001","BaseTimeTransformer","16","27.09655253366168","0.5535339713096619","1","4.805372090220452"
"whole-sweep-23","13785","-","finished","","0.0001","RecurrentTransformer","32","30.622134744961347","0.5588324069976807","7","4.961841262559096"
"solar-sweep-22","12861","-","finished","","0.0001","RecurrentTransformer","16","30.873386197267894","0.564956784248352","7","5.033890974630912"
"cosmic-sweep-24","15682","-","finished","","0.0001","RecurrentTransformer","64","30.40281566638553","0.5621948838233948","4","5.061399670034647"
"astral-sweep-21","12337","-","finished","","0.0001","RecurrentTransformer","8","30.570957140788437","0.5756996273994446","10","5.119699618965387"
"jumping-sweep-19","9026","-","finished","","0.0001","BaseTimeTransformer","32","27.08409451140836","0.557418704032898","1","5.210888322268923"
"rich-sweep-20","6985","-","finished","","0.0001","BaseTimeTransformer","64","29.79797259409619","0.5638504028320312","1","5.4219581572115425"
"bumbling-sweep-17","8530","-","finished","","0.0001","BaseTimeTransformer","8","30.241302168373014","0.5961751937866211","1","5.942468397239844"
